"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - video play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - video play","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
518995791497187_777492825647481,https://www.facebook.com/VisualizationStudio/posts/777492865647477,"Visualization Studio VIC's cover photo",Photo,,,"06/04/2014 04:03:05 PM"," ",0,0,0,0,0,0,5,1,,1,,4,14,,,4,,,,14,,0,0,0,0,0,0,2,0,,,,,0,,,,
518995791497187_777491558980941,https://www.facebook.com/VisualizationStudio/posts/777491558980941,"If you are attending EuroVis 2014 you are welcome to participate on our Visualization Literacy workshop. For more information, please follow: https://www.kth.se/profile/178785/page/eurovis-2014-workshop-towards-visualiza/",Link,,,"06/04/2014 04:01:36 PM"," ",53,53,0,100,100,0,4,2,,2,,2,4,,2,,,,4,,,0,0,89,45,0,0,3,0,0,0,0,0,0,0,0,0,0
518995791497187_765808623482568,https://www.facebook.com/VisualizationStudio/posts/765808623482568,"MS Thesis opportunity: http://www.kth.se/en/samverkan/exjobb/studenter/kth-exjobbportal-1.317830",Link,,,"05/16/2014 08:09:04 AM"," ",43,43,0,109,109,0,5,,,,,5,7,2,4,,,2,5,,,0,0,102,37,0,0,4,0,0,0,0,0,0,0,0,0,0
518995791497187_765192976877466,https://www.facebook.com/VisualizationStudio/posts/765192976877466,"Ecuador really gets beat up by El Niño when it comes.
http://earthobservatory.nasa.gov/IOTD/view.php?id=83653&amp;src=fb",Link,,,"05/15/2014 03:48:45 AM"," ",28,28,0,70,70,0,0,,,,,0,0,,,,,,,,,0,0,63,22,0,0,0,0,0,0,0,0,0,0,0,0,0
518995791497187_765134806883283,https://www.facebook.com/VisualizationStudio/posts/765134806883283,"Opportunity: PhD in visualization in Amsterdam! 
http://fieldsofview.in/work_with_us",Link,,,"05/15/2014 12:29:06 AM"," ",29,29,0,70,70,0,0,,,,,0,0,,,,,,,,,0,0,63,23,0,0,0,0,0,0,0,0,0,0,0,0,0
518995791497187_762032747193489,https://www.facebook.com/VisualizationStudio/posts/762032747193489:0,"Interesting:
&quot;The frontal lobes house our highest faculties; they’re the essence of our humanity, the physical incarnation of our highest cognitive powers. So when Gage’s frontal lobes got pulped, he transformed from a clean-cut, virtuous foreman into a dirty, scary, sociopathic drifter. Simple as that.&quot;
http://www.slate.com/articles/health_and_science/science/2014/05/phineas_gage_neuroscience_case_true_story_of_famous_frontal_lobe_patient.html",Photo,,,"05/09/2014 12:59:15 AM"," ",50,50,0,124,124,0,6,1,,1,,6,11,,5,2,,,9,2,,0,0,115,43,0,0,5,0,,,,,0,,,,
518995791497187_761561730573924,https://www.facebook.com/VisualizationStudio/posts/761561730573924,http://www.cfa.harvard.edu/news/2014-10,Link,,,"05/08/2014 01:38:18 AM"," ",28,28,0,69,69,0,0,,,,,0,0,,,,,,,,,0,0,61,22,0,0,0,0,,,,,0,,,,
518995791497187_756027237794040,https://www.facebook.com/VisualizationStudio/posts/756027237794040,http://www.iflscience.com/space/visualization-recent-asteroid-impacts-earth,Link,,,"04/28/2014 06:16:59 AM"," ",91,91,0,216,216,0,9,2,,2,,9,12,5,4,,,6,6,,,0,0,156,54,0,0,5,0,,,,,0,,,,
518995791497187_744346425628788,https://www.facebook.com/VisualizationStudio/posts/744346425628788,"We're ready!",Link,,,"04/07/2014 05:05:14 PM"," ",30,30,0,61,61,0,0,,,,,0,0,,,,,,,,,0,0,54,24,0,0,0,0,,,,,0,,,,
