"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - other","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - other","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - video play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - video play","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Percentage of viewers at each interval (video post) - 0","Lifetime Percentage of viewers at each interval (video post) - 1","Lifetime Percentage of viewers at each interval (video post) - 2","Lifetime Percentage of viewers at each interval (video post) - 3","Lifetime Percentage of viewers at each interval (video post) - 4","Lifetime Percentage of viewers at each interval (video post) - 5","Lifetime Percentage of viewers at each interval (video post) - 6","Lifetime Percentage of viewers at each interval (video post) - 7","Lifetime Percentage of viewers at each interval (video post) - 8","Lifetime Percentage of viewers at each interval (video post) - 9","Lifetime Percentage of viewers at each interval (video post) - 10","Lifetime Percentage of viewers at each interval (video post) - 11","Lifetime Percentage of viewers at each interval (video post) - 12","Lifetime Percentage of viewers at each interval (video post) - 13","Lifetime Percentage of viewers at each interval (video post) - 14","Lifetime Percentage of viewers at each interval (video post) - 15","Lifetime Percentage of viewers at each interval (video post) - 16","Lifetime Percentage of viewers at each interval (video post) - 17","Lifetime Percentage of viewers at each interval (video post) - 18","Lifetime Percentage of viewers at each interval (video post) - 19","Lifetime Percentage of viewers at each interval (video post) - 20","Lifetime Percentage of viewers at each interval (video post) - 21","Lifetime Percentage of viewers at each interval (video post) - 22","Lifetime Percentage of viewers at each interval (video post) - 23","Lifetime Percentage of viewers at each interval (video post) - 24","Lifetime Percentage of viewers at each interval (video post) - 25","Lifetime Percentage of viewers at each interval (video post) - 26","Lifetime Percentage of viewers at each interval (video post) - 27","Lifetime Percentage of viewers at each interval (video post) - 28","Lifetime Percentage of viewers at each interval (video post) - 29","Lifetime Percentage of viewers at each interval (video post) - 30","Lifetime Percentage of viewers at each interval (video post) - 31","Lifetime Percentage of viewers at each interval (video post) - 32","Lifetime Percentage of viewers at each interval (video post) - 33","Lifetime Percentage of viewers at each interval (video post) - 34","Lifetime Percentage of viewers at each interval (video post) - 35","Lifetime Percentage of viewers at each interval (video post) - 36","Lifetime Percentage of viewers at each interval (video post) - 37","Lifetime Percentage of viewers at each interval (video post) - 38","Lifetime Percentage of viewers at each interval (video post) - 39","Lifetime Percentage of viewers at each interval (video post) - 40","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
518995791497187_1020686821328079,https://www.facebook.com/VisualizationStudio/posts/1020686821328079,"We are so proud to announce that our friend Carl Unander-Scharin and his ensemble will perform Vocal Chorder for Stephen Hawking as part of his last day visiting Sweden. Wow!",Photo,,,"08/18/2015 12:32:03 AM"," ",446,446,0,934,934,0,49,,11,,,,12,,,42,52,,40,3,,,49,3,,0,0,,,752,319,0,0,41,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_1018134281583333,https://www.facebook.com/VisualizationStudio/posts/1018134281583333,"Today we had the opportunity to fulfil Pim's wish to go on an extended space tour. His wish was granted through the foundation My Special Day (Min Stora Dag).

http://www.minstoradag.org/",Link,,,"08/13/2015 05:57:17 AM"," ",931,931,0,1910,1910,0,40,,22,,2,,27,,2,27,33,18,11,,,22,11,,,0,0,,,712,283,0,0,29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_1017060031690758,https://www.facebook.com/VisualizationStudio/posts/1017060235024071,"Prof. Tino Weinkauf presenting the people at the Visualization Studio VIC.",Photo,,,"08/11/2015 07:25:01 AM"," ",70,70,0,131,131,0,37,,6,,1,,6,,1,32,52,,3,32,,,3,49,,0,0,,,2,1,0,0,23,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_1017056145024480,https://www.facebook.com/VisualizationStudio/posts/1017056145024480,"Welcome back everyone! We hope you had a great summer break. We're kicking off the year with a video and a link from our information visualization students. It is TweemojiWorld, an interactive visualization of the emotional state of the world based on tweeter emojies and contextualized news trends. Enjoy!

http://tweemojiworld.ronnmark.se/",Link,,,"08/11/2015 07:10:09 AM"," ",801,801,0,1634,1634,0,37,3,9,,2,3,10,,2,31,47,18,22,,,21,26,,,1,1,1,1,644,258,0,0,28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_986824914714270,https://www.facebook.com/VisualizationStudio/posts/986824914714270:0,"Prof. Tino Weinkauf presenting the people at the Visualization Studio VIC at KTH Royal Institute of Technology as part of the annual meeting of the Swedish e-Science Research Center, SeRC",Photo,,,"06/16/2015 12:59:28 AM"," ",1143,1143,0,3123,3123,0,134,5,36,,3,8,38,,4,118,274,,89,101,,,142,132,,0,0,,,854,328,0,0,45,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_986347084762053,https://www.facebook.com/VisualizationStudio/posts/986347084762053:0,"Visualization Studio VIC @ Aula Magna, Stockholm University participating at the annual meeting of SeRC, the Swedish e-Science Research Center. 
http://www.e-science.se/annualmeeting2015",Photo,,,"06/15/2015 05:10:53 AM"," ",280,280,0,565,565,0,31,,6,,,,6,,,28,44,2,11,21,,2,13,29,,0,0,,,440,190,0,0,20,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_985109638219131,https://www.facebook.com/VisualizationStudio/posts/985109638219131,"The summer school students have now had their final presentations. They all did an excellent job with exploring and proposing solution to the health care cases SLL Innovation provided. Congratulations!",Photo,,,"06/12/2015 07:29:13 AM"," ",359,359,0,731,731,0,23,,4,,,,4,,,19,39,,16,3,,,36,3,,0,0,,,632,286,0,0,20,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_983364765060285,https://www.facebook.com/VisualizationStudio/posts/983364765060285,"Carl-Henrik Ek is giving an enthusiastic lecture on the demo scene, really old hardware forced to do incredible graphics.",Photo,,,"06/10/2015 05:25:26 AM"," ",580,580,0,1130,1130,0,56,1,13,,,1,13,,,52,85,,42,14,,,67,18,,0,0,,,763,329,0,0,48,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_982217378508357,https://www.facebook.com/VisualizationStudio/posts/982217378508357:0,"The summer school has now started! http://www.beststockholm.se/seasonal-courses/summer-course-2015/
The student organization BEST is this year organizing a very hands-on workshop together with the studio on IoT. 24 students from all over the world will be working on health care cases provided by SLL Innovation (http://sllinnovation.se/), hardware from Texas Instruments (http://www.ti.com/tool/cc2541dk-sensor) and software from our friends at EVO Things (http://evothings.com/). On Friday they will have changed the world - at least a little bit.",Photo,,,"06/08/2015 06:17:35 AM"," ",159,159,0,370,370,0,18,,4,,,,4,,,17,56,4,13,8,,6,41,9,,0,0,,,303,114,0,0,18,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
