"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - other","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - other","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - video play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - video play","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Percentage of viewers at each interval (video post) - 0","Lifetime Percentage of viewers at each interval (video post) - 1","Lifetime Percentage of viewers at each interval (video post) - 2","Lifetime Percentage of viewers at each interval (video post) - 3","Lifetime Percentage of viewers at each interval (video post) - 4","Lifetime Percentage of viewers at each interval (video post) - 5","Lifetime Percentage of viewers at each interval (video post) - 6","Lifetime Percentage of viewers at each interval (video post) - 7","Lifetime Percentage of viewers at each interval (video post) - 8","Lifetime Percentage of viewers at each interval (video post) - 9","Lifetime Percentage of viewers at each interval (video post) - 10","Lifetime Percentage of viewers at each interval (video post) - 11","Lifetime Percentage of viewers at each interval (video post) - 12","Lifetime Percentage of viewers at each interval (video post) - 13","Lifetime Percentage of viewers at each interval (video post) - 14","Lifetime Percentage of viewers at each interval (video post) - 15","Lifetime Percentage of viewers at each interval (video post) - 16","Lifetime Percentage of viewers at each interval (video post) - 17","Lifetime Percentage of viewers at each interval (video post) - 18","Lifetime Percentage of viewers at each interval (video post) - 19","Lifetime Percentage of viewers at each interval (video post) - 20","Lifetime Percentage of viewers at each interval (video post) - 21","Lifetime Percentage of viewers at each interval (video post) - 22","Lifetime Percentage of viewers at each interval (video post) - 23","Lifetime Percentage of viewers at each interval (video post) - 24","Lifetime Percentage of viewers at each interval (video post) - 25","Lifetime Percentage of viewers at each interval (video post) - 26","Lifetime Percentage of viewers at each interval (video post) - 27","Lifetime Percentage of viewers at each interval (video post) - 28","Lifetime Percentage of viewers at each interval (video post) - 29","Lifetime Percentage of viewers at each interval (video post) - 30","Lifetime Percentage of viewers at each interval (video post) - 31","Lifetime Percentage of viewers at each interval (video post) - 32","Lifetime Percentage of viewers at each interval (video post) - 33","Lifetime Percentage of viewers at each interval (video post) - 34","Lifetime Percentage of viewers at each interval (video post) - 35","Lifetime Percentage of viewers at each interval (video post) - 36","Lifetime Percentage of viewers at each interval (video post) - 37","Lifetime Percentage of viewers at each interval (video post) - 38","Lifetime Percentage of viewers at each interval (video post) - 39","Lifetime Percentage of viewers at each interval (video post) - 40","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
518995791497187_1110323039031123,https://www.facebook.com/VisualizationStudio/posts/1110323039031123,"Our Information Visualization students participated and won the Stockholm Digital Care competition in the Green Hackathon. Congratulations!!!",Photo,,,"02/14/2016 12:40:16 AM"," ",301,301,0,537,537,0,27,,10,,,,10,,,17,32,6,15,1,,7,24,1,,0,0,,,,,441,228,0,0,22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_1107861962610564,https://www.facebook.com/VisualizationStudio/videos/1107861962610564/,"We visit Speakasso, our 2015 information visualization student project and C Awards winner for Public Magnet. Speakasso aesthetically visualizes speech patterns.
For more information: http://www.csc.kth.se/~acvds/info_vis/speakasso/",Video,,,"02/10/2016 12:56:03 AM"," ",1115,1115,0,4882,4882,0,89,2,34,,7,3,43,,14,65,111,9,42,2,24,9,76,2,24,0,0,,,,,4249,800,0,0,50,30674,41,39,0,0,126454,0.9757,1,0.6733,0.5166,0.4238,0.3731,0.3223,0.3113,0.2936,0.2737,0.2715,0.2627,0.2472,0.245,0.2318,0.2185,0.2009,0.2031,0.1965,0.1876,0.1766,0.1722,0.1656,0.1611,0.1589,0.1435,0.1457,0.1435,0.1391,0.1258,0.1236,0.117,0.1214,0.1104,0.0949,0.106,0.0993,0.1038,0.0905,0.0861,0.0132,485,384,0,0
518995791497187_1104524059611021,https://www.facebook.com/VisualizationStudio/posts/1104524059611021,"We are remembering our student project Skylike, a visualization of your social reading networks as constellations in the night sky.
More info: http://www.skylike.me/",Link,,,"02/04/2016 07:00:58 AM"," ",781,781,0,1589,1589,0,43,1,17,,1,1,20,,2,29,38,12,21,,,12,26,,,0,0,,,,,1012,424,0,0,37,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_1102809409782486,https://www.facebook.com/VisualizationStudio/videos/1102809409782486/,"Mockstar is a gesture-based interactive crowd simulator to train the rockstars of tomorrow! It is a project in the Multimodal Interaction course at KTH Royal Institute of Technology by Victor Larsson, Louise Wikstén, Joel Ekman and Petriina Piuhola.",Video,,,"02/01/2016 02:39:45 AM"," ",1193,1193,0,12056,12056,0,108,6,41,,3,8,46,,3,88,169,,80,6,29,,133,6,30,0,0,,,,,11217,763,0,0,56,40484,49,46,0,0,124606,0.9366,1,0.73,0.5785,0.5069,0.4876,0.4711,0.4545,0.3939,0.3829,0.3802,0.3691,0.3664,0.3554,0.3526,0.3388,0.3278,0.3113,0.2948,0.2837,0.2617,0.2534,0.2534,0.2452,0.2369,0.2231,0.2066,0.2121,0.1928,0.1736,0.1763,0.1763,0.1543,0.1433,0.1433,0.1433,0.1322,0.1295,0.135,0.1295,0.022,380,287,0,0
518995791497187_1101204176609676,https://www.facebook.com/VisualizationStudio/videos/1101204176609676/,"We are visiting our C Awards 2014 winner explr.fm, a map visualizing your playlist's countries of origin. Have a great weekend!
More info and live application: http://explr.fm/",Video,,,"01/29/2016 04:59:47 AM"," ",900,900,0,10988,10988,0,42,1,13,,1,1,15,,2,34,74,5,22,4,12,9,41,10,14,0,0,,,,,10636,703,0,0,33,28053,13,13,0,0,191187,1,0.7911,0.5411,0.3938,0.2877,0.2363,0.1815,0.1507,0.137,0.1199,0.1164,0.113,0.1164,0.1164,0.1062,0.113,0.1062,0.1062,0.1096,0.0993,0.0959,0.0856,0.0788,0.0753,0.0685,0.0685,0.0753,0.0651,0.0548,0.0616,0.0616,0.0651,0.0685,0.0616,0.0651,0.0582,0.0445,0.0445,0.0445,0.0342,0.0137,309,199,0,0
518995791497187_1100552563341504,https://www.facebook.com/VisualizationStudio/posts/1100552563341504:0,"Professor Mattias Höjer inviting our Information Visualization students to participate in the Green Hackathon in Stockholm between February 12 and 13. We are looking forward to great projects!",Photo,,,"01/28/2016 02:39:28 AM"," ",1234,1234,0,15028,15028,0,82,2,15,,1,3,18,,2,75,191,,44,56,,,64,127,,0,0,,,,,14278,763,0,0,63,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_1099456103451150,https://www.facebook.com/VisualizationStudio/posts/1099456103451150,"We are very proud to announce that KTH's first MOOC was partially filmed and supported by the Visualization Studio VIC!! The Massive Open Online Course on Human Space Flight starts on April 18. Sing up! We already have.",Link,,,"01/26/2016 08:10:40 AM"," ",1131,1131,0,2199,2199,0,50,2,17,,3,2,27,,3,39,63,17,29,,,17,46,,,0,0,,,,,901,359,0,0,35,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
518995791497187_1097744893622271,https://www.facebook.com/VisualizationStudio/posts/1097744893622271:0,"Our alumnus Xiaopeng Li featured in KTH's Innovation Immersion Program! 
http://www.kth.se/blogs/iip/2016/01/meet-xiaopeng-li/",Photo,,,"01/23/2016 12:28:06 AM"," ",776,776,0,8590,8590,0,23,,3,,1,,5,,1,21,39,5,1,15,,5,1,33,,0,0,,,,,8410,653,0,0,16,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518995791497187_1097394566990637,https://www.facebook.com/VisualizationStudio/posts/1097394566990637:0,"Erik showing Tidebanan today to our guests from IQ Samhällsbyggnad.",Photo,,,"01/22/2016 06:44:17 AM"," ",809,809,0,8627,8627,0,47,,4,,,,4,,,42,102,,23,40,,,28,74,,0,0,,,,,8417,681,0,0,40,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
